crop,Aera,Production,yield
Irrigated Rice,4435,10071,2271
Un-Irrigated Rice,2594,2855,1100
Total Kharif Rice,7030,12926,1839
Kharif Jowar,1041,1215,1166
Kharif Bajri,5057,5089,1006
Maize,4177,5638,1350
Ragi,180,150,830
Small Millets,156,94,598
Total Kharif Cereals,17641,25111,1423
Tur,2698,2590,960
Mung,1683,730,434
Math,306,98,319
Udid,985,611,620
Other Pulses,300,184,613
Total Kharif Pulses,5972,4213,705
Total Kharif food-grains,23613,29323,1242
Wheat (Irri.),11227,32733,2916
Wheat (Un-Irri.),633,458,724
Wheat Total,11860,33191,2799
Rabi Jowar,503,514,1021
Rabi Maize,1100,2200,2000
Rabi Small Millets,240,306,1275
Total Rabi Cereals,12970,34744,2679
Gram,1610,1672,1038
Other Rabi Pulses,191,140,736
Total Rabi Pulses,1801,1812,1006
Total Rabi Food-grains,14771,36556,2475
Summer Bajra,2439,5881,2411
Summer Rice,420,1280,3048
Summer Maize,330,660,2000
Total Summer Cereals,2969,7381,2486
Mung (Green Gram),710,390,549
Udad,70,46,657
Total Summer Pulses,780,436,559
Total Summer Food-grains,3229,7526,2331
Total Foodgrains,41613,73405,1764
Total Jowar,1545,1728,1119
Total Bajra,7496,10970,1464
Total Rice,7450,14206,1907
Total Maize,4654,6591,1416
Total Mung,1920,860,448
Total Udad,1008,626,621
Total Cereals,33580,67235,2002
Total Pulses,8033,6170,768
Groundnut (Kharif),17481,24161,1382
Groundnut (Sum.),1358,2482,1827
Sesamum (Kharif),2261,846,374
Sesamum (Sum.),752,381,500
Groundnut (Total),18839,26643,1414
Sesamum (Total),2511,973,387
Rapeseed and Mustard,2442,3416,1399
Castor,4487,8897,1983
Soyabean,840,680,810
Other Oilseeds (Total),1020,370,361
Total Oilseeds,28899,40279,1394
Cotton (Irrigated),17361,69901,684
Cotton (Un-Irrigated),7443,10899,249
Cotton Total,24804,80800,554
Tobacco (Kharif),573,920,1606
Tobacco (Rabi),880,1760,2000
Tobacco (Total),866,1507,1740
Sugarcane (in Gul),2006,14193,7076
Potato,528,11473,21741
Fennel,184,263,1428
Cumin,2464,1370,556
Chillies,80,74,921
Isabgul,125,77,612
Onion (Rabi),496,13613,27419
Onion (Sum.),120,3420,28500
Onion (Total),536,14753,27500
Garlic,260,1556,5977
Guar seed,1359,568,418
Banana,247,17570,71233
